ci_method,N,percent_missed,param_info
4,10,0,[0.7,1]
4,100,0,[0.7,1]
4,500,0,[0.7,1]
4,1000,0,[0.7,1]
4,5000,0,[0.7,1]
4,10000,0,[0.7,1]
5,10,0.1055,0.01
5,100,0.0603,0.01
5,500,0.0801,0.01
5,1000,0.087,0.01
5,5000,0.0968,0.01
5,10000,0.0975,0.01
5,10,0.0698,0.5
5,100,0.0942,0.5
5,500,0.0941,0.5
5,1000,0.0991,0.5
5,5000,0.0919,0.5
5,10000,0.103,0.5
5,10,0.1036,0.99
5,100,0.0645,0.99
5,500,0.0815,0.99
5,1000,0.0825,0.99
5,5000,0.0987,0.99
5,10000,0.0935,0.99
5,10,0.1009,[0,0.3]
5,100,0.101,[0,0.3]
5,500,0.1012,[0,0.3]
5,1000,0.0982,[0,0.3]
5,5000,0.1007,[0,0.3]
5,10000,0.0923,[0,0.3]
5,10,0.1013,[0.3,0.7]
5,100,0.1057,[0.3,0.7]
5,500,0.1047,[0.3,0.7]
5,1000,0.0928,[0.3,0.7]
5,5000,0.1005,[0.3,0.7]
5,10000,0.0952,[0.3,0.7]
5,10,0.1012,[0.7,1]
5,100,0.1043,[0.7,1]
5,500,0.0997,[0.7,1]
5,1000,0.0939,[0.7,1]
5,5000,0.0972,[0.7,1]
5,10000,0.1012,[0.7,1]
6,10,0.9092,0.01
6,100,0.6306,0.01
6,500,0.8176,0.01
6,1000,0.8782,0.01
6,5000,0.9435,0.01
6,10000,0.9563,0.01
6,10,0.0013,0.5
6,100,0,0.5
6,500,0,0.5
6,1000,0,0.5
6,5000,0,0.5
6,10000,0,0.5
6,10,0,0.99
6,100,0,0.99
6,500,0,0.99
6,1000,0,0.99
6,5000,0,0.99
6,10000,0,0.99
6,10,0,[0,0.3]
6,100,0,[0,0.3]
6,500,0,[0,0.3]
6,1000,0,[0,0.3]
6,5000,0,[0,0.3]
6,10000,0,[0,0.3]
6,10,0,[0.3,0.7]
6,100,0,[0.3,0.7]
6,500,0,[0.3,0.7]
6,1000,0,[0.3,0.7]
6,5000,0,[0.3,0.7]
6,10000,0,[0.3,0.7]
6,10,0,[0.7,1]
6,100,0,[0.7,1]
6,500,0,[0.7,1]
6,1000,0,[0.7,1]
6,5000,0,[0.7,1]
6,10000,0,[0.7,1]
7,10,0,0.01
7,100,0,0.01
7,500,0,0.01
7,1000,0,0.01
7,5000,0,0.01
7,10000,0,0.01
7,10,0.1128,0.5
7,100,0.09,0.5
7,500,0.0909,0.5
7,1000,0.0935,0.5
7,5000,0.0938,0.5
7,10000,0.089,0.5
7,10,0.0001,0.99
7,100,0,0.99
7,500,0,0.99
7,1000,0,0.99
7,5000,0,0.99
7,10000,0,0.99
7,10,0,[0,0.3]
7,100,0,[0,0.3]
7,500,0,[0,0.3]
7,1000,0,[0,0.3]
7,5000,0,[0,0.3]
7,10000,0,[0,0.3]
7,10,0,[0.3,0.7]
7,100,0,[0.3,0.7]
7,500,0,[0.3,0.7]
7,1000,0,[0.3,0.7]
7,5000,0,[0.3,0.7]
7,10000,0,[0.3,0.7]
7,10,0,[0.7,1]
7,100,0,[0.7,1]
7,500,0,[0.7,1]
7,1000,0,[0.7,1]
7,5000,0,[0.7,1]
7,10000,0,[0.7,1]
8,10,0.903,0.01
8,100,1,0.01
8,500,1,0.01
8,1000,1,0.01
8,5000,1,0.01
8,10000,1,0.01
8,10,0.0124,0.5
8,100,0,0.5
8,500,0,0.5
8,1000,0,0.5
8,5000,0,0.5
8,10000,0,0.5
8,10,0.996,0.99
8,100,1,0.99
8,500,1,0.99
8,1000,1,0.99
8,5000,1,0.99
8,10000,1,0.99
8,10,0.0121,[0,0.3]
8,100,0,[0,0.3]
8,500,0,[0,0.3]
8,1000,0,[0,0.3]
8,5000,0,[0,0.3]
8,10000,0,[0,0.3]
8,10,0.0114,[0.3,0.7]
8,100,0,[0.3,0.7]
8,500,0,[0.3,0.7]
8,1000,0,[0.3,0.7]
8,5000,0,[0.3,0.7]
8,10000,0,[0.3,0.7]
8,10,0.012,[0.7,1]
8,100,0,[0.7,1]
8,500,0,[0.7,1]
8,1000,0,[0.7,1]
8,5000,0,[0.7,1]
8,10000,0,[0.7,1]
9,10,0.9028,0.01
9,100,0.3732,0.01
9,500,0.0413,0.01
9,1000,0.0292,0.01
9,5000,0.0114,0.01
9,10000,0.0134,0.01
9,10,0.0213,0.5
9,100,0.0102,0.5
9,500,0.0115,0.5
9,1000,0.0102,0.5
9,5000,0.0088,0.5
9,10000,0.0103,0.5
9,10,0.9046,0.99
9,100,0.3647,0.99
9,500,0.0378,0.99
9,1000,0.0284,0.99
9,5000,0.0125,0.99
9,10000,0.0121,0.99
9,10,0.0434,[0,0.3]
9,100,0.0107,[0,0.3]
9,500,0.0105,[0,0.3]
9,1000,0.0111,[0,0.3]
9,5000,0.0103,[0,0.3]
9,10000,0.0108,[0,0.3]
9,10,0.0446,[0.3,0.7]
9,100,0.0123,[0.3,0.7]
9,500,0.0124,[0.3,0.7]
9,1000,0.01,[0.3,0.7]
9,5000,0.0106,[0.3,0.7]
9,10000,0.0107,[0.3,0.7]
9,10,0.0435,[0.7,1]
9,100,0.0135,[0.7,1]
9,500,0.0097,[0.7,1]
9,1000,0.0092,[0.7,1]
9,5000,0.0108,[0.7,1]
9,10000,0.0107,[0.7,1]
10,10,0,0.01
10,100,0,0.01
10,500,0,0.01
10,1000,0,0.01
10,5000,0,0.01
10,10000,0,0.01
10,10,0.0232,0.5
10,100,0.0345,0.5
10,500,0.0451,0.5
10,1000,0.0474,0.5
10,5000,0.0443,0.5
10,10000,0.0446,0.5
10,10,0,0.99
10,100,0,0.99
10,500,0,0.99
10,1000,0,0.99
10,5000,0,0.99
10,10000,0,0.99
10,10,0,[0,0.3]
10,100,0,[0,0.3]
10,500,0,[0,0.3]
10,1000,0,[0,0.3]
10,5000,0,[0,0.3]
10,10000,0,[0,0.3]
10,10,0,[0.3,0.7]
10,100,0,[0.3,0.7]
10,500,0,[0.3,0.7]
10,1000,0,[0.3,0.7]
10,5000,0,[0.3,0.7]
10,10000,0,[0.3,0.7]
10,10,0,[0.7,1]
10,100,0,[0.7,1]
10,500,0,[0.7,1]
10,1000,0,[0.7,1]
10,5000,0,[0.7,1]
10,10000,0,[0.7,1]
